Genename,log2FoldChange,padj,baseMean,WT_158_normalized,WT_159_normalized,WT_160_normalized,WT_161_normalized,ARKO_170_normalized,ARKO_163_normalized,ARKO_164_normalized,ARKO_165_normalized
Dnase1,-6.57751274233631,1.40277310196897e-05,13.772954002869,32.2923876343749,3.92825279889526,36.0663687059522,36.768150124072,1.12847275965776,0.0,0.0,0.0
Blk,-6.20706683200757,0.035075753644757,10.6461662870671,71.760861409722,4.91031599861908,1.12707402206101,6.59941156073087,0.0,0.0,0.0,0.771667305403935
Gm12240,-6.04057336897995,0.0026772819647221,5.70664001139374,15.5481866387731,0.0,16.9061103309151,13.1988231214617,0.0,0.0,0.0,0.0
Ly6g6e,-5.63195249141908,8.62034774041506e-05,16.6279408891857,32.2923876343749,2.94618959917145,24.7956284853421,70.7079810078308,0.0,0.738005775958261,0.0,1.54333461080787
Cd8b1,-5.21983994766492,0.0254645154998657,5.49372205571048,35.880430704861,3.92825279889526,1.12707402206101,1.88554616020882,1.12847275965776,0.0,0.0,0.0
Ly6d,-5.14280862519168,0.0254645154998657,21.2010477855185,120.797450039699,37.318401589505,1.12707402206101,5.65663848062646,0.0,0.738005775958261,2.42747776549073,1.54333461080787
Irx3os,-4.59774368332335,0.000270035604271125,97.3728389827066,257.143086718171,30.4439591914383,151.027918956175,309.229570274247,1.12847275965776,2.21401732787478,16.9923443584351,10.8033422756551
Fscn2,-4.30482219545505,2.29094224313103e-12,28.7179089949396,56.2126747709489,32.4080855908859,56.3537011030503,73.536300248144,2.25694551931551,1.47601155191652,3.6412166482361,3.85833652701967
Opn1mw,-4.27394030162368,0.0174664009324388,6.89460066188995,15.5481866387731,0.982063199723815,6.76244413236603,29.2259654832367,1.12847275965776,0.738005775958261,0.0,0.771667305403935
Slc15a5,-4.19367040122623,2.13683618277455e-05,173.742200426096,375.548508044212,53.031412785086,346.011724772729,543.03729414014,16.9270913948663,4.42803465574956,25.4885165376527,25.4650210783298
Bmp8a,-4.06628430646748,0.0429509159765213,6.01265801031963,9.5681148546296,0.982063199723815,5.63537011030503,29.2259654832367,0.0,1.47601155191652,1.21373888274537,0.0
Chrna10,-4.05922715684654,0.0429509159765213,4.02921624475978,8.3721004978009,11.7847583966858,6.76244413236603,3.77109232041764,0.0,0.0,0.0,1.54333461080787
Serpina3g,-3.97914234932749,0.0477001010733879,9.2653654008035,49.0365886299767,1.96412639944763,0.0,18.8554616020882,0.0,0.738005775958261,1.21373888274537,2.3150019162118
Slc30a2,-3.81187710330552,6.52668311512913e-11,594.870003673645,1200.79841425602,370.237826295878,1235.27312817886,1635.71129398115,58.6805835022033,53.874421644953,122.587627157282,81.7967343728171
Ar,-3.59383872237572,1.47795020982833e-108,1048.48413569088,1689.96828619895,2222.40902097499,1766.1249925696,2070.32968390928,190.711896382161,176.383380454024,106.809021681592,165.136803356442
Actr3b,-3.49114865204562,8.896421155331e-07,414.50520983758,917.343011687613,178.735502349734,797.968407619192,1151.12593080749,44.0104376266525,47.9703754372869,88.6029384404117,90.2850747322604
Cxcl13,-3.30178647346725,0.0131884267671765,19.1580882733736,111.229335185069,7.85650559779052,3.38122206618302,16.9699154418794,1.12847275965776,4.42803465574956,3.6412166482361,4.63000383242361
Themis3,-3.2588055021007,0.00702145765989504,14.0086034088048,28.7043445638888,1.96412639944763,13.5248882647321,57.509157886369,1.12847275965776,2.95202310383304,2.42747776549073,3.85833652701967
Tmem132b,-2.97464457128,0.00398977665709607,18.458426184952,40.6644881321758,5.89237919834289,16.9061103309151,66.9368886874131,2.25694551931551,2.21401732787478,9.70991106196293,3.08666922161574
Mss51,-2.82472693089401,2.62616017480226e-09,2900.64712072422,6064.98880347834,2128.13095380151,6828.94149966763,5312.52630638835,1046.09424820274,633.946961548146,571.671013773067,618.877178933956
Gm10032,-2.81564314938056,8.85009397277637e-05,36.7873770916156,50.2326029868054,20.6233271942001,89.0388477428195,97.1056272507543,3.38541827897327,3.6900288797913,19.4198221239259,10.8033422756551
Gm44956,-2.79048743378992,0.0390024379489287,6.19255314449724,5.9800717841435,15.713011195581,5.63537011030503,16.027142361775,0.0,2.21401732787478,2.42747776549073,1.54333461080787
Otog,-2.78083992287783,2.7693649160499e-10,74.399939241235,100.465205973611,78.5650559779052,101.436661985491,239.46436234652,11.2847275965776,23.6161848306643,21.8472998894166,18.5200153296944
1810041H14Rik,-2.75552934186922,0.00761823576931819,14.109227520402,25.1163014934027,3.92825279889526,46.2100349045012,22.6265539225058,5.64236379828878,2.95202310383304,4.85495553098146,1.54333461080787
Alox12b,-2.7502290662044,0.00956339840365905,9.50849768490028,23.920287136574,7.85650559779052,22.5414804412201,12.2560500413573,1.12847275965776,5.16604043170782,2.42747776549073,0.771667305403935
Trim67,-2.64871081590057,0.000151513105942744,21.7485628813063,49.0365886299767,9.82063199723815,50.7183309927453,40.5392424444896,4.51389103863102,5.90404620766608,7.2824332964722,6.17333844323148
Th,-2.64794875054431,0.045836845137394,5.74314528451431,15.5481866387731,4.91031599861908,9.01659217648805,10.3705038811485,1.12847275965776,2.21401732787478,1.21373888274537,1.54333461080787
Gck,-2.6318411129539,0.0122127371765145,375.086350484082,836.014035423262,176.771375950287,767.537409023545,803.242664248958,25.9548734721284,80.4426295794504,202.694393418476,108.033422756551
Slc2a3,-2.62185580330154,2.35814107095718e-05,297.363284970128,620.731451194096,246.497863130678,560.15578896432,619.401913628598,127.517421841326,107.010837513948,32.7709498341249,64.8200536539305
