Genename,log2FoldChange,padj,baseMean,WT_158_normalized,WT_159_normalized,WT_160_normalized,WT_161_normalized,ARKO_170_normalized,ARKO_163_normalized,ARKO_164_normalized,ARKO_165_normalized
Dnajc5g,5.93216919685131,0.000274888094744439,5.89205887303649,0.0,0.0,0.0,0.0,7.89930931760429,22.1401732787478,10.9236499447083,6.17333844323148
Abcc2,5.52414861500883,0.00348990220737606,4.42207506759013,0.0,0.0,0.0,0.0,2.25694551931551,18.4501443989565,8.49617217921756,6.17333844323148
Gm15857,5.19438920905284,0.00694916812472926,3.58687818552382,0.0,0.0,0.0,0.0,9.02778207726205,8.85606931149913,8.49617217921756,2.3150019162118
Fgl1,5.15661239848815,0.00380617738007088,5.77810855235779,0.0,0.982063199723815,0.0,0.0,10.1562548369198,23.6161848306643,6.06869441372683,5.40167113782754
Gm5083,5.01237853139228,0.00268819993343549,8.75845841230966,1.1960143568287,0.0,1.12707402206101,0.0,13.5416731158931,34.6862714700382,4.85495553098146,14.6616788026748
A4gnt,4.92993847881137,0.0234712052667715,2.98565003086784,0.0,0.0,0.0,0.0,4.51389103863102,8.11806353554087,9.70991106196293,1.54333461080787
Ankrd36,4.90417480569537,0.0274762486765686,2.87702597429617,0.0,0.0,0.0,0.0,4.51389103863102,12.5460981912904,3.6412166482361,2.3150019162118
Gm12354,4.90240644406705,0.0181653042195514,2.86187913077941,0.0,0.0,0.0,0.0,3.38541827897327,7.38005775958261,3.6412166482361,8.48834035944328
Ush2a,4.84427329899506,0.0194390033205101,2.77527250758307,0.0,0.0,0.0,0.0,3.38541827897327,8.11806353554087,6.06869441372683,4.63000383242361
Uox,4.79088090460564,0.0274220564632148,2.64988865668105,0.0,0.0,0.0,0.0,4.51389103863102,8.85606931149913,2.42747776549073,5.40167113782754
Smc1b,4.46196437047004,0.0388555874372121,3.5766724467935,0.0,0.0,0.0,0.94277308010441,2.25694551931551,13.2841039672487,3.6412166482361,8.48834035944328
Gm28286,3.75233570833906,0.000365242781278409,9.5039845910437,0.0,2.94618959917145,2.25414804412201,0.0,19.1840369141819,18.4501443989565,16.9923443584351,16.2050134134826
Fam71e2,3.15881520632615,0.037384787239234,5.23932168186908,1.1960143568287,0.0,2.25414804412201,0.94277308010441,5.64236379828878,11.8080924153322,8.49617217921756,11.575009581059
Chrna9,2.65606946501043,0.000688909334120001,20.2572708971777,3.5880430704861,7.85650559779052,7.88951815442704,2.82831924031323,23.6979279528129,51.6604043170782,52.1907719580507,12.346676886463
B230312C02Rik,2.51979899664914,0.0422158963569024,763.970682312916,78.9369475506942,602.986804630423,155.536215044419,69.7652079277264,1910.50438210058,1596.30649339772,784.075318253507,913.654089598259
AW551984,2.44479584432803,0.000219009265336341,59.9408388760176,11.960143568287,40.2645911886764,6.76244413236603,15.0843692816706,102.691021128856,193.357513301064,54.6182497235415,54.7883786836794
Dmp1,2.09483735257123,1.26835057141328e-06,43.3510317702778,5.9800717841435,26.515706392543,14.6519622867931,17.9126885219838,84.6354569743317,78.2286122515756,50.9770330753054,67.9067228755463
Lancl3,2.05306743060267,0.0144162757596444,12.5140234017116,2.3920287136574,4.91031599861908,3.38122206618302,8.48495772093969,11.2847275965776,27.3062137104556,23.061038772162,19.2916826350984
Casr,1.88274963715441,0.0156042811224321,490.106029524651,283.455402568402,188.556134346973,217.525286257774,147.072600496288,244.878588845733,608.116759389607,1339.96772655088,891.275737741545
Mccc1os,1.85655924794391,0.0429509159765213,10.2356044740417,1.1960143568287,3.92825279889526,6.76244413236603,5.65663848062646,12.4132003562353,14.7601155191652,19.4198221239259,17.7483480242905
Tmem8c,1.85235049228004,0.0222622707149483,19.7149566162117,7.1760861409722,11.7847583966858,5.63537011030503,9.4277308010441,45.1389103863102,47.2323696613287,18.2060832411805,13.1183441918669
Maats1,1.69824296959448,9.23758917773519e-05,32.34736503686,13.1561579251157,18.6592007947525,10.1436661985491,18.8554616020882,39.4965465880215,64.9445082843269,44.9083386615785,48.6150402404479
Slc39a12,1.63059602840867,0.0472921767093108,21.6722324224491,7.1760861409722,23.5695167933716,6.76244413236603,4.71386540052205,33.8541827897327,47.2323696613287,23.061038772162,27.0083556891377
Ypel1,1.62257539708528,0.042387707997773,18.421747915787,8.3721004978009,16.6950743953049,3.38122206618302,7.54218464083528,14.6701458755508,36.1622830219548,32.7709498341249,27.7800229945416
Catsperg1,1.55258187934015,0.000752870786428419,27.3359607598006,10.7641292114583,15.713011195581,15.7790363088541,13.1988231214617,37.239601068706,49.4463869892035,44.9083386615785,31.6383595215613
Hsbp1l1,1.50461858148673,9.69366060814184e-06,122.166420687339,59.800717841435,106.062825570172,52.9724790368673,35.8253770439676,196.35426018045,195.571530628939,151.717360343171,179.026814853713
Gm31406,1.49670911025718,0.00959149956485441,25.0603857636857,11.960143568287,20.6233271942001,12.3978142426711,7.54218464083528,47.3958559056258,36.1622830219548,24.2747776549073,40.1266998810046
Cacnb4,1.39030647843615,0.000462106553286633,43.4607673958109,27.5083302070601,14.7309479958572,24.7956284853421,29.2259654832367,65.4514200601499,49.4463869892035,57.0457274890322,79.4817324566053
Gm12199,1.38104065286096,0.00526474519703854,125.358740452724,34.6844163480323,143.381227159677,55.2266270809893,44.3103347649073,174.913277746952,193.357513301064,168.709704701606,188.28682251856
1810041L15Rik,1.35228097710677,0.00192240523338448,70.3597519073749,43.0565168458332,61.8699815826004,22.5414804412201,31.1115116434455,78.9930931760429,144.649132087819,93.4578939713932,87.1984055106446
